RESULT:                   OPTIMUM ROUTE:   
u(72) = 150.0
u(73) = 170.0
u(74) = 140.0
u(75) = 200.0
u(76) = 60.0
u(77) = 180.0
u(78) = 50.0
u(79) = 190.0
u(80) = 200.0
u(81) = 30.0
u(82) = 70.0
u(83) = 50.0
u(84) = 120.0
u(85) = 150.0
u(86) = 40.0
u(87) = 30.0
u(88) = 180.0
u(89) = 190.0
u(90) = 10.0
u(91) = 200.0
u(92) = 100.0
u(93) = 140.0
u(94) = 70.0
u(95) = 60.0
u(96) = 30.0
u(97) = 170.0
u(98) = 20.0
u(99) = 200.0
u(100) = 190.0
t(1) = 967.0
t(2) = 870.0
t(3) = 105.04
t(4) = 779.8555999999953
t(5) = 15.0
t(6) = 689.7659999999887
t(7) = 195.12
t(8) = 285.23320000000706
t(9) = 599.6763999999821
t(10) = 375.37760000001174
t(11) = 465.49760000001174
t(12) = 721.0
t(13) = 30.0
t(14) = 620.0
t(15) = 429.0
t(16) = 528.0
t(17) = 120.16
t(18) = 210.28
t(19) = 300.48
t(20) = 10.0
t(21) = 965.0
t(22) = 874.92
t(23) = 777.0
t(24) = 100.2
t(25) = 190.28
t(26) = 686.88
t(27) = 280.36
t(28) = 593.0
t(29) = 370.5044000000047
t(30) = 460.70440000000474
t(31) = 211.2955999999959
t(32) = 31.0
t(33) = 121.08
t(34) = 816.0
t(35) = 301.4955999999959
t(36) = 716.0
t(37) = 391.7287999999983
t(38) = 522.0
t(39) = 624.0
t(40) = 286.28
t(41) = 196.2
t(42) = 106.12
t(43) = 16.0
t(44) = 376.4
t(45) = 556.5932000000071
t(46) = 466.51320000000703
t(47) = 1127.0
t(48) = 676.4639999999996
t(49) = 1036.92
t(50) = 856.6736000000062
t(51) = 766.5839999999996
t(52) = 946.8
t(53) = 305.49559999999593
t(54) = 215.28000000000003
t(55) = 125.08
t(56) = 436.0
t(57) = 35.0
t(58) = 534.0
t(59) = 740.0
t(60) = 629.0
t(61) = 596.8
t(62) = 282.32
t(63) = 192.12
t(64) = 686.88
t(65) = 102.04
t(66) = 875.0
t(67) = 12.0
t(68) = 777.0
t(69) = 969.0
t(70) = 407.6
t(71) = 317.4
t(72) = 462.64
t(73) = 549.584400000004
t(74) = 372.44
t(75) = 1068.0
t(76) = 227.2
t(77) = 639.7444000000041
t(78) = 137.12
t(79) = 729.7844000000041
t(80) = 820.0
t(81) = 47.0
t(82) = 380.6
t(83) = 290.48
t(84) = 521.886799999993
t(85) = 612.0
t(86) = 200.24
t(87) = 110.2
t(88) = 708.0
t(89) = 798.8555999999953
t(90) = 20.0
t(91) = 889.0
t(92) = 390.5844000000053
t(93) = 518.0
t(94) = 300.4400000000006
t(95) = 210.29559999999591
t(96) = 120.2155999999959
t(97) = 622.0
t(98) = 30.0
t(99) = 820.0
t(100) = 726.0
U(2) = 98.0
U(3) = 97.0
U(4) = 1.0
U(5) = 96.0
U(7) = 7.0
U(8) = 2.0
U(9) = 3.0
U(10) = 6.0
U(11) = 4.0
U(12) = 5.0
U(13) = 7.0
U(15) = 6.0
U(16) = 4.0
U(17) = 5.0
U(18) = 1.0
U(19) = 2.0
U(20) = 3.0
U(22) = 99.0
U(23) = 98.0
U(24) = 97.0
U(25) = 1.0
U(26) = 91.0
U(27) = 96.0
U(28) = 92.0
U(29) = 95.0
U(30) = 93.0
U(31) = 94.0
U(32) = 93.0
U(34) = 92.0
U(35) = 99.0
U(36) = 94.0
U(37) = 98.0
U(38) = 95.0
U(39) = 96.0
U(40) = 97.0
U(41) = 3.0
U(42) = 2.0
U(43) = 1.0
U(45) = 4.0
U(46) = 6.0
U(47) = 5.0
U(48) = 99.0
U(49) = 7.0
U(50) = 11.0
U(51) = 9.0
U(52) = 8.0
U(53) = 10.0
U(54) = 95.0
U(55) = 94.0
U(56) = 1.0
U(57) = 96.0
U(59) = 97.0
U(60) = 99.0
U(61) = 98.0
U(62) = 6.0
U(63) = 3.0
U(64) = 2.0
U(65) = 7.0
U(66) = 1.0
U(67) = 9.0
U(69) = 8.0
U(70) = 99.0
U(71) = 4.0
U(72) = 3.0
U(73) = 5.0
U(74) = 5.0
U(75) = 4.0
U(76) = 99.0
U(77) = 2.0
U(78) = 6.0
U(79) = 1.0
U(80) = 7.0
U(81) = 8.0
U(83) = 4.0
U(84) = 3.0
U(85) = 5.0
U(86) = 6.0
U(87) = 2.0
U(88) = 1.0
U(89) = 7.0
U(90) = 8.0
U(92) = 9.0
U(93) = 95.0
U(94) = 96.0
U(95) = 94.0
U(96) = 93.0
U(97) = 1.0
U(98) = 97.0
U(100) = 99.0
U(101) = 98.0
Computational Time: 782.5049479007721 Secs
